x,y,z
160.0,-50.0,0.0
230.0,-50.0,0.0
230.0,0.0,0.0
160.0,0.0,0.0
175.0,-10.0,0.0
195.0,-10.0,0.0
195.0,-25.0,0.0
175.0,-25.0,0.0
220.0,-35.0,0.0
219.78147600733806,-32.920883091822404,0.0
219.135454576426,-30.932633569242,0.0
218.0901699437495,-29.122147477075266,0.0
216.69130606358857,-27.56855174522606,0.0
215.0,-26.339745962155614,0.0
213.0901699437495,-25.489434837048464,0.0
211.04528463267653,-25.054781046317267,0.0
208.95471536732347,-25.054781046317267,0.0
206.9098300562505,-25.489434837048464,0.0
205.0,-26.33974596215561,0.0
203.30869393641143,-27.568551745226056,0.0
201.90983005625054,-29.122147477075266,0.0
200.864545423574,-30.932633569242,0.0
200.21852399266194,-32.920883091822404,0.0
200.0,-34.99999999999999,0.0
200.21852399266194,-37.07911690817759,0.0
200.864545423574,-39.067366430758,0.0
201.9098300562505,-40.87785252292473,0.0
203.30869393641143,-42.43144825477394,0.0
205.0,-43.66025403784438,0.0
206.9098300562505,-44.510565162951536,0.0
208.95471536732344,-44.94521895368273,0.0
211.04528463267653,-44.94521895368273,0.0
213.09016994374946,-44.510565162951536,0.0
215.0,-43.66025403784438,0.0
216.69130606358857,-42.43144825477394,0.0
218.09016994374946,-40.877852522924734,0.0
219.135454576426,-39.067366430758,0.0
219.78147600733806,-37.07911690817759,0.0
220.0,-35.000000000000014,0.0
